,sa_company_name,f_score
354,MARVEL INDUSTRIES LTD.,2
355,MASTEK LTD.,2
356,MAX FINANCIAL SERVICES LTD.,2
357,I L & F S ENGG. & CONSTRUCTION CO. LTD.,1
358,MAYUR FLOORINGS LTD.,2
359,MAYUR LEATHER PRODUCTS LTD.,2
360,MEDICORP TECHNOLOGIES INDIA LTD. [MERGED],2
361,MEDINOVA DIAGNOSTIC SERVICES LTD.,2
362,MEHTA RUBBER CHEMICALS LTD.,2
363,MELSTAR INFORMATION TECHNOLOGIES LTD.,2
364,MELTRON SEMICONDUCTORS LTD.,1
365,M P L PLASTICS LTD.,2
366,MIRCH TECHNOLOGIES (INDIA) LTD.,1
367,MISHRA DHATU NIGAM LTD.,2
368,MODERN DENIM LTD.,2
369,MODERN INDIA LTD.,2
370,MODERN TERRY TOWELS LTD. [MERGED],2
371,MODERN THREADS (INDIA) LTD.,2
372,MONALISA INFOTECH LTD.,2
373,MONICA ELECTRONICS LTD.,2
374,MOUNT SHIVALIK INDS. LTD.,2
375,MOVILEX IRRIGATION LTD.,2
376,BOMBAY RAYON FASHIONS LTD.,2
377,MUKAND LTD.,1
378,MYSORE PETRO CHEMICALS LTD.,2
379,N B FOOTWEAR LTD.,1
380,NAGARJUNA AGRI TECH LTD.,2
381,NAINA SEMICONDUCTORS LTD.,2
382,NAKODA LTD.,2
383,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,2
384,N B C C (INDIA) LTD.,1
385,NATIONAL GENERAL INDS. LTD.,2
386,NAVCOM INDUSTRIES LTD.,2
387,NELCAST LTD.,1
388,NELCO LTD.,2
389,NEOGEM INDIA LTD.,1
390,NESCO LTD.,2
391,NEYCER INDIA LTD.,2
392,NICCO PARKS & RESORTS LTD.,2
393,NICCO UCO ALLIANCE CREDIT LTD.,2
394,NILACHAL REFRACTORIES LTD.,2
395,NIRMA LTD.,2
396,NITIN FIRE PROTECTION INDS. LTD.,2
397,G S L NOVA PETROCHEMICALS LTD.,2
398,SPISYS LTD.,2
399,A A R V INFRATEL LTD.,1
400,OIL COUNTRY TUBULAR LTD.,2
401,OMAXE LTD.,1
402,OMNI DYE-CHEM EXPORTS LTD.,2
403,ONWARD TECHNOLOGIES LTD.,2
404,OPTEL TELECOMMUNICATIONS LTD.,2
405,ORCHID PHARMA LTD.,2
406,SAIANAND COMMERCIAL LTD.,2
407,ORIENTAL CARBON & CHEMICALS LTD.,1
408,ORIQUA LTD.,1
409,OSWAL GREENTECH LTD.,2
410,OSWAL YARNS LTD.,2
411,OTOKLIN PLANTS & EQUIPMENTS LTD.,2
412,OUDH SUGAR MILLS LTD. [MERGED],2
413,OPAL INDUSTRIES LTD.,1
414,ONE GLOBAL SERVICE PROVIDER LTD.,2
415,P G FOILS LTD.,2
416,KORE FOODS LTD.,2
417,P I INDUSTRIES LTD.,2
418,8K MILES SOFTWARE SERVICES LTD.,1
419,P T C INDUSTRIES LTD.,1
420,PACKTECH INDUSTRIES LTD.,2
421,PANACEA BIOTEC LTD.,2
422,P I L INDUSTRIES LTD. [MERGED],2
423,FUTURE ENTERPRISES LTD.,2
424,PANYAM CEMENTS & MINERAL INDS. LTD.,1
425,GLODYNE TECHNOSERVE LTD.,2
426,PARKER AGROCHEM EXPORTS LTD.,2
427,MURUGAPPA HOLDINGS LTD. [MERGED],2
428,PARTAP RAJASTHAN SPECIAL STEELS LTD.,2
429,PASUPATI TECHNOFAB LTD.,1
430,PATEL ENGINEERING LTD.,2
431,P I L ITALICA LIFESTYLE LTD.,2
432,PALCO LTD.,1
433,PENNAR INDUSTRIES LTD.,2
434,PENTAFOUR SOLEC TECHNOLOGY LTD.,2
435,PENTAMEDIA GRAPHICS LTD.,2
436,P B GLOBAL LTD.,2
437,PHARMACEUTICAL PRODUCTS OF INDIA LTD. [MERGED],2
438,PHARMAIDS PHARMACEUTICALS LTD.,2
439,PICCADILY SUGAR & ALLIED INDS. LTD.,1
440,PIONEER ALLOY CASTINGS LTD.,2
441,PLETHICO PHARMACEUTICALS LTD.,2
442,POLAR MARMO AGGLOMERATES LTD.,1
443,POLO HOTELS LTD.,2
444,PRABHU STEEL INDS. LTD.,2
445,PRADEEP METALS LTD.,2
446,PRAJ INDUSTRIES LTD.,2
447,PRAJAY ENGINEERS SYNDICATE LTD.,2
448,PRAKASH SOLVENT EXTRACTIONS LTD.,2
449,PRAKASH WOOLLEN & SYNTHETIC MILLS LTD.,2
450,PRATIKSHA CHEMICALS LTD.,2
451,PRECISION CAMSHAFTS LTD.,2
452,ISTREET NETWORK LTD.,2
453,PRITISH NANDY COMMUNICATIONS LTD.,2
454,RAIN INDUSTRIES LTD.,2
455,PRIYADARSHINI FABS LTD.,2
456,TITAN INTECH LTD.,1
457,PROFESSIONAL DIAMONDS LTD.,1
458,PROGRESSIVE STEELS (INDIA) LTD.,1
459,PROTCHEM INDUSTRIES (INDIA) LTD.,2
460,3P LAND HOLDINGS LTD.,1
461,PULSAR INTERNATIONAL LTD.,2
462,RISHIROOP LTD.,2
463,PUNJ LLOYD LTD.,2
464,PUNJAB CHEMICALS & CROP PROTECTION LTD.,2
465,PUNJAB TRACTORS LTD. [MERGED],2
466,PUNJAB WOOLCOMBERS LTD.,2
467,PURAVANKARA LTD.,2
468,PURITY FLEX PACK LTD.,2
469,R C S VANASPATI INDS. LTD.,2
470,R L F LTD.,2
471,R M I STEELS LTD.,2
472,RAASHI FERTILIZERS LTD.,2
473,RADHIKA SPINNING MILLS LTD.,1
474,RADIANT ROTOGRAVURE LTD.,1
475,STRATMONT INDUSTRIES LTD.,2
476,RAJASTHAN PETRO SYNTHETICS LTD.,2
477,RALLIS INDIA LTD.,2
478,NUTRICIRCLE LTD.,2
479,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,2
480,RASOI LTD.,2
481,RATHI BARS LTD.,2
482,RAVALGAON SUGAR FARM LTD.,2
483,REDEX PROTECH LTD.,2
484,REFNOL RESINS & CHEMICALS LTD.,2
485,RELAXO FOOTWEARS LTD.,2
486,RESTILE CERAMICS LTD.,2
487,REVATHI EQUIPMENT LTD.,2
488,RIBA TEXTILES LTD.,2
489,RIDDHI SIDDHI GLUCO BIOLS LTD.,2
490,RISHIROOP RUBBER (INTERNATIONAL) LTD. [MERGED],2
491,ROLTA INDIA LTD.,2
492,ROOPA INDUSTRIES LTD.,2
493,ROPLAS (INDIA) LTD.,2
494,KRIPTOL INDUSTRIES LTD.,2
495,ROSSELL INDIA LTD.,2
496,ROTO PUMPS LTD.,1
497,ROYAL CUSHION VINYL PRODUCTS LTD.,1
498,RUPA & CO. LTD.,2
499,S & S POWER SWITCHGEAR LTD.,2
500,S I P INDUSTRIES LTD.,2
501,S K N INDUSTRIES LTD.,1
502,ARCOTECH LTD.,2
503,S M I F S CAPITAL MARKETS LTD.,1
504,S P L INDUSTRIES LTD. (DELHI),2
505,PAN INDIA CORPN. LTD.,1
506,S R H SYNTHETICS LTD.,1
507,JATALIA GLOBAL VENTURES LTD.,1
508,P V P VENTURES LTD.,2
509,SAGAR SILK INDS. LTD. [MERGED],2
510,SAGARSOFT (INDIA) LTD.,2
511,SAINIK FINANCE & INDS. LTD.,1
512,SAMTEL INDIA LTD.,2
513,SAND PLAST (INDIA) LTD.,2
514,SANGAM ALUMINIUM LTD.,2
515,SANGAM HEALTH CARE PRODUCTS LTD.,2
516,SANGHI INDUSTRIES LTD.,2
517,SANJIVANI AGRO INDS. LTD.,1
518,SANKHYA INFOTECH LTD.,2
519,SANRHEA TECHNICAL TEXTILES LTD.,2
520,JAYATMA INDUSTRIES LTD.,2
521,SANTOSH FINE-FAB LTD.,2
522,SANWARIA CONSUMER LTD.,2
523,SARANG CHEMICALS LTD.,2
524,SARITA SYNTHETICS & INDS. LTD.,2
525,SARUP INDUSTRIES LTD.,2
526,SARVOTTAM INDUSTRIES LTD.,1
527,SATGURU AGRO INDS. LTD.,1
528,SAVITA OIL TECHNOLOGIES LTD.,2
529,SCAN ORGANICS LTD.,1
530,DUNCAN ENGINEERING LTD.,2
531,SCINDIA STEAM NAVIGATION CO. LTD.,2
532,SCOOTERS INDIA LTD.,2
533,HINDUSTAN MEDIA VENTURES LTD.,2
534,SERVOTEACH INDUSTRIES LTD.,1
535,SHAH ALLOYS LTD.,2
536,SHAKTI PUMPS (INDIA) LTD.,2
537,SHALIN HOTELS LTD.,2
538,SHARAD FIBRES & YARN PROCESSORS LTD.,2
539,SHEETAL DIAMONDS LTD.,2
540,SHERVANI INDUSTRIAL SYNDICATE LTD.,2
541,SHIVA SUITINGS LTD.,2
542,S T L GLOBAL LTD.,2
543,SHREE CEMENT LTD.,2
544,SHREE HARI CHEMICALS EXPORT LTD.,2
545,SHREE JAGDAMBE PAPER MILLS LTD.,2
546,SHREE MANUFACTURING CO. LTD.,2
547,SHREE NARMADA ALUMINIUM INDS. LTD.,2
548,SHREE POMANI METALS & ALLOYS LTD.,2
549,SHREE STEEL WIRE ROPES LTD.,1
550,SHREE VALLABH GLASS WORKS LTD.,2
551,SHREE VINDHYA PAPER MILLS LTD.,1
552,SHRI SAINATH PROTEINS LTD.,2
553,SRI HAVISHA HOSPITALITY & INFRASTRUCTURE LTD.,2
554,NIMBUS FOODS INDS. LTD.,2
555,SIDDHESWARI GARMENTS LTD.,2
556,SIDDHI VINAYAK METAL CO. LTD.,2
557,SIGNET INDUSTRIES LTD.,1
558,SIMTOOLS PVT. LTD.,2
559,TYCHE INDUSTRIES LTD.,2
560,SKOL BREWERIES LTD. [MERGED],2
561,QUINTEGRA SOLUTIONS LTD.,2
562,S T G LIFECARE LTD.,2
563,SOLAR INDUSTRIES INDIA LTD.,2
564,SOLID STONE CO. LTD.,1
565,SOMA TEXTILES & INDS. LTD.,2
566,SOUNDCRAFT INDUSTRIES LTD.,2
567,SOUTHERN IRON & STEEL CO. LTD. [MERGED],2
568,SOUTHERN MAGNESIUM & CHEMICALS LTD.,2
569,SOWBHAGYA MEDIA LTD.,1
570,SPARTEK CERAMICS INDIA LTD.,1
571,SPECTRA INDUSTRIES LTD.,1
572,S R H H L INDUSTRIES LTD. [MERGED],2
573,SREE UMA PARAMESWARI MILLS LTD.,1
574,SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,1
575,SRI GANAPATHY MILLS CO. LTD.,2
576,SRI VISHNU CEMENT LTD. [MERGED],2
577,STANDARD INDUSTRIES LTD.,2
578,STANDARD SURFACTANTS LTD.,2
579,STEEL STRIPS WHEELS LTD.,2
580,STELCO STRIPS LTD.,2
581,STERLING BIOTECH LTD.,2
582,STERLITE INDUSTRIES (INDIA) LTD. [MERGED],2
583,STILES INDIA LTD.,2
584,B S E LTD.,2
585,STOCKNET INTERNATIONAL LTD.,2
586,VARDHMAN CONCRETE LTD.,2
587,STRIDES PHARMA SCIENCE LTD.,2
588,SUBROS LTD.,2
589,SUN EARTH CERAMICS LTD.,2
590,SUNCITY SYNTHETICS LTD.,2
591,SUPER FORGINGS & STEELS LTD.,2
592,SUPERIOR AIR PRODUCTS LTD. [MERGED],1
593,S D F INDUSTRIES LTD.,2
594,SUPREME INDUSTRIES LTD.,2
595,SUPREME TEX MART LTD.,2
596,SURAJ INDUSTRIES LTD.,2
597,SURANA INDUSTRIES LTD.,2
598,SURYA INDUSTRIAL CORPN. LTD.,2
599,NECTAR LIFESCIENCES LTD.,2
600,SURYA PHARMACEUTICAL LTD.,2
601,SURYODAYA PLASTICS LTD.,2
602,SUVARNA APPAREL & FASHION EXPORTS LTD.,2
603,SWADESHI MILLS CO. LTD.,1
604,SWISSEN INTERSPACE LTD.,1
605,PRAVEG COMMUNICATIONS (INDIA) LTD.,2
606,SECURE EARTH TECHNOLOGIES LTD.,1
607,SYNTHIKO FOILS LTD.,1
608,T I L LTD.,2
609,T P I INDIA LTD.,1
610,T V S ELECTRONICS LTD. [MERGED],2
611,T V S ELECTRONICS LTD.,1
612,T V S SRICHAKRA LTD.,2
613,TAI INDUSTRIES LTD.,2
614,MANGAL CREDIT & FINCORP LTD.,2
615,TAMILNADU STEEL TUBES LTD.,2
616,TAPARIA TOOLS LTD.,2
617,TATA COFFEE LTD.,2
618,HONEYWELL AUTOMATION INDIA LTD.,2
619,TEAKTEX PROCESSING COMPLEX LTD.,2
620,TECHNOJET CONSULTANTS LTD.,1
621,TECIL CHEMICALS & HYDRO POWER LTD.,1
622,TELEVISION EIGHTEEN INDIA LTD.[MERGED],2
623,THAKKERS DEVELOPERS LTD.,2
624,THANA ELECTRIC SUPPLY CO. LTD.,1
625,TIMEX GROUP INDIA LTD.,2
626,TIRUPATI FOAM LTD.,1
627,TIRUPATI STARCH & CHEMICALS LTD.,2
628,TONIRA PHARMA LTD. [MERGED],2
629,MAGNA COLORS LTD.,2
630,TRADE-WINGS LTD.,2
631,TRANSGLOBE FOODS LTD.,2
632,STERLING INTERNATIONAL ENTERPRISES LTD.,2
633,TRIGYN TECHNOLOGIES LTD.,2
634,TRILLENIUM TECHNOLOGIES LTD.,1
635,CHOLAMANDALAM FINANCIAL HOLDINGS LTD.,2
636,TUDOR INDIA PVT. LTD.,1
637,TUTICORIN ALKALI CHEMICALS & FERTILISERS LTD.,2
638,ENSO SECUTRACK LTD.,1
639,TYROON TEA CO. LTD.,2
640,U B ENGINEERING LTD.,2
641,U G HOTELS & RESORTS LTD.,2
642,UGAR SUGAR WORKS LTD.,2
643,UMA MAHESWARI MILLS LTD.,1
644,UNI ABEX ALLOY PRODUCTS LTD.,2
645,HIGH STREET FILATEX LTD.,2
646,UNIPORT COMPUTERS LTD.,2
647,UNIQUE ESTATES DEVP. CO. LTD.,2
648,UNITED MOTORS (INDIA) PVT. LTD.,2
649,UNITED NILGIRI TEA ESTATES CO. LTD.,1
650,UNIPHOS ENTERPRISES LTD.,2
651,UNITED VAN DER HORST LTD.,2
652,ARISTOCRAT LUGGAGE LTD. [MERGED],2
653,UPPER GANGES SUGAR & INDS. LTD. [MERGED],2
654,UPTOWN TRADING & INVESTMENTS LTD.,1
655,USHA (INDIA) LTD.,2
656,USHA ISPAT LTD.,2
657,SIEMENS V D O AUTOMOTIVE LTD. [MERGED],1
658,V I P INDUSTRIES LTD.,2
659,V X L INSTRUMENTS LTD.,1
660,VADILAL DAIRY INTL. LTD.,2
661,VAKRANGEE LTD.,2
662,VALSON INDUSTRIES LTD.,2
663,IN HOUSE PRODUCTIONS LTD.,2
664,VARUN INDUSTRIES LTD.,2
665,VARUNA AGROPROTEINS LTD.,1
666,YASHRAJ CONTAINEURS LTD.,2
667,PRECISION CONTAINEURS LTD.,2
668,VENTRON POLYMERS LTD.,1
669,VICTORY GLASS & INDS. LTD.,2
670,VIDHI SPECIALTY FOOD INGREDIENTS LTD.,2
671,V S F PROJECTS LTD.,1
672,VIKRANT TYRES LTD. [MERGED],2
673,VIKSIT ENGINEERING LTD.,1
674,VINTAGE CARDS & CREATIONS LTD.,2
675,VIRAT INDUSTRIES LTD.,2
676,M P S INFOTECNICS LTD.,2
677,VISHAL CHAIRS LTD.,2
678,VISHAL EXPORTS OVERSEAS LTD.,1
679,VISHAL MALLEABLES LTD.,2
680,VISION ORGANICS LTD.,2
681,VISION CINEMAS LTD.,1
682,E D & TECH INTL. LTD.,2
683,VOLANT TEXTILE MILLS LTD.,1
684,VOLGA AIR TECHNICS LTD.,2
685,TERRUZZI FERCALX INDIA LTD.,2
686,WELCURE DRUGS & PHARMACEUTICALS LTD.,1
687,WELLMAN INCANDESCENT INDIA LTD.,2
688,WESTERN INDIA PLYWOODS LTD.,2
689,WESTON ELECTRONIKS LTD.,2
690,KENNAMETAL INDIA LTD.,2
691,WINSOME BREWERIES LTD.,2
692,WOOLWAYS (INDIA) LTD.,2
693,YANGIR PROPERTIES & TRDG. LTD.,2
694,YUVRAJ INTERNATIONAL LTD.,2
695,ZENITH INFOTECH LTD.,2
696,ZODIAC CLOTHING CO. LTD.,2
697,ZORA PHARMA LTD. [MERGED],2
698,MUDUNURU LTD.,2
699,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,1
700,HITTCO TOOLS LTD.,2
701,HANUNG TOYS & TEXTILES LTD.,2
702,GLOBUS SPIRITS LTD.,1
